# NEC選定IBM拡張
for i in range(0, 450):
    c_s = 0xed40 + i
    try:
        print("cp932", hex(c_s)[2:], hex(ord(bytes.fromhex(hex(c_s)[2:]).decode('cp932')))[2:],"chr", bytes.fromhex(hex(c_s)[2:]).decode('cp932'))
    except UnicodeDecodeError as e:
        print("cp932", hex(c_s)[2:], "")
---
cp932 eec9 9431 chr 鐱
cp932 eeca 9445 chr 鑅
cp932 eecb 9448 chr 鑈
cp932 eecc 9592 chr 閒
cp932 eecd f9dc chr 隆
cp932 eece fa29 chr 﨩
cp932 eecf 969d chr 隝
cp932 eed0 96af chr 隯
cp932 eed1 9733 chr 霳
cp932 eed2 973b chr 霻
cp932 eed3 9743 chr 靃
cp932 eed4 974d chr 靍
cp932 eed5 974f chr 靏
cp932 eed6 9751 chr 靑
cp932 eed7 9755 chr 靕
cp932 eed8 9857 chr 顗
cp932 eed9 9865 chr 顥
cp932 eeda fa2a chr 飯
cp932 eedb fa2b chr 飼
cp932 eedc 9927 chr 餧
cp932 eedd fa2c chr 館
cp932 eede 999e chr 馞
cp932 eedf 9a4e chr 驎
cp932 eee0 9ad9 chr 髙
cp932 eee1 9adc chr 髜
cp932 eee2 9b75 chr 魵
cp932 eee3 9b72 chr 魲
cp932 eee4 9b8f chr 鮏
cp932 eee5 9bb1 chr 鮱
cp932 eee6 9bbb chr 鮻
cp932 eee7 9c00 chr 鰀
cp932 eee8 9d70 chr 鵰
cp932 eee9 9d6b chr 鵫
cp932 eeea fa2d chr 鶴
cp932 eeeb 9e19 chr 鸙
cp932 eeec 9ed1 chr 黑
cp932 eeed
cp932 eeee
cp932 eeef 2170 chr ⅰ
cp932 eef0 2171 chr ⅱ
cp932 eef1 2172 chr ⅲ
cp932 eef2 2173 chr ⅳ
cp932 eef3 2174 chr ⅴ
cp932 eef4 2175 chr ⅵ
cp932 eef5 2176 chr ⅶ
cp932 eef6 2177 chr ⅷ
cp932 eef7 2178 chr ⅸ
cp932 eef8 2179 chr ⅹ
cp932 eef9 ffe2 chr ￢
cp932 eefa ffe4 chr ￤
cp932 eefb ff07 chr ＇
cp932 eefc ff02 chr ＂
cp932 eefd
cp932 eefe
cp932 eeff
cp932 ef00
cp932 ef01
